Producto ,,,,,
Perfumes | Masculinos,,x30 Unidades,x20 Unidades,x10 Unidades,x5 Unidades
Halloween EDT Femenino,"$85,000",$39,$43,$46,$54
Scandal – Jean Paul Gaultier ,"$153,000",$110,$114,$117,$125
Toy 2 – Moschino ,"$112,000",$44,$48,$51,$59
VICTORIA SECRET,,,,,
* BODY SPLASH 250 ML:,,,,,
Agua kiss,"$38,000",$5,$9,$12,$20
Rush New,"$38,000",$5,$9,$12,$20
Temptation ,"$38,000",$5,$9,$12,$20
Love spell,"$38,000",$5,$9,$12,$20
Romantic,"$38,000",$5,$9,$12,$20
Midnight Bloom,"$38,000",$5,$9,$12,$20
Bare vainilla,"$38,000",$5,$9,$12,$20
Coconut passion,"$38,000",$5,$9,$12,$20
Pure seduction,"$38,000",$5,$9,$12,$20
Amber romance,"$38,000",$5,$9,$12,$20
Strawberry champagne,"$38,000",$5,$9,$12,$20
Puré seduction daydream,"$38,000",$5,$9,$12,$20
Velvet petals,"$38,000",$5,$9,$12,$20
* BODY LOTION 236 ML:,,,,,
Bare vainilla,"$35,000",$5,$9,$12,$20
Bare vainilla Shimmer,"$35,000",$5,$9,$12,$20
Coconut passion,"$35,000",$5,$9,$12,$20
Puré seduction,"$35,000",$5,$9,$12,$20
Love spell,"$35,000",$5,$9,$12,$20
Love spell Shimmer,"$35,000",$5,$9,$12,$20
Velvet petals Shimmer,"$35,000",$5,$9,$12,$20
* GLOSS:,,,,,
LIP plumper pink,"$28,000",$5,$9,$12,$20
Ph lip oil pink,"$28,000",$5,$9,$12,$20
Gleaming color shine lip gloss,"$28,000",$5,$9,$12,$20
* BRUMA:,,,,,
V.s tease sugar fleur 250ml,"$48,999",$5,$9,$12,$20
* PACKS:,,,,,
Pcs x 2 very sexy night,,$5,$9,$12,$20
Pcs x 2 bombeshell,"$49,000",$33,$37,$40,$48
Pcs x 5 tease,"$189,000",$110,$114,$117,$125
* FRAGANCIAS:,,,,,
Victoria Secret Bombeshell glamour,"$139,000.00",$93,$97,$100,$108
Crema Karsell ,"$37,000",$26,$30,$33,$41
